value,analysis,sbj
1299.333333,visual,S05_l3
2052.166667,visual,S07_l2
2419.833333,visual,S11_a2
1688.833333,visual,S16_l3
2457.666667,visual,S04_l1
2361.666667,visual,S16_a3
1335.166667,visual,S12_a2
3644.833333,visual,S11_l1
2240.333333,visual,S01_l3
2428.333333,visual,S04_a3
2023.333333,visual,S03_l3
1780.833333,visual,S12_a1
1843.5,visual,S07_a1
1781.666667,visual,S13_a1
1922.666667,visual,S08_l3
1737.666667,visual,S18_a3
2171.5,visual,S16_a1
1781.5,visual,S06_l2
2176.166667,visual,S12_l1
2426.833333,visual,S14_l2
2425.833333,visual,S10_a3
1672.833333,visual,S02_l2
2516.833333,visual,S04_l2
1365.5,visual,S06_a3
1765.166667,visual,S01_a2
1934.5,visual,S06_a2
2096,visual,S15_l2
1694.166667,visual,S05_l1
2259.833333,visual,S07_a2
2163,visual,S08_l2
2233.5,visual,S13_l3
2080.333333,visual,S03_a2
3358.166667,visual,S18_l1
2175.5,visual,S09_a2
2204.166667,visual,S10_l1
1785,visual,S02_a2
2199,visual,S09_l1
2543.166667,visual,S05_l2
2377,visual,S15_a2
2100.5,visual,S08_a2
2179.5,visual,S09_l2
2990.333333,visual,S06_l3
2436,visual,S06_l1
2279,visual,S09_a3
3138.166667,visual,S14_l1
1792.333333,visual,S18_l3
2505.666667,visual,S16_a2
1857.333333,visual,S18_l2
2205,visual,S14_a1
3238.166667,visual,S16_l1
1374.666667,visual,S05_a1
1929.166667,visual,S03_a1
1726.333333,visual,S01_l1
1607,visual,S17_a3
1887.833333,visual,S03_l2
2364.333333,visual,S05_a3
2273.5,visual,S15_l1
1626.166667,visual,S17_a2
2128.166667,visual,S08_a1
1621.666667,visual,S13_a3
2138.333333,visual,S18_a2
2470.5,visual,S03_l1
1158,visual,S12_a3
2057.333333,visual,S15_a1
2175,visual,S09_a1
2366.5,visual,S06_a1
2313.5,visual,S09_l3
2149.333333,visual,S17_l1
1768.166667,visual,S10_a1
1341,visual,S07_l1
1653.833333,visual,S02_l3
2020.166667,visual,S15_l3
2175.666667,visual,S14_a2
1902,visual,S18_a1
2036.5,visual,S11_a3
2154.166667,visual,S13_l1
3040.166667,visual,S14_l3
2969.166667,visual,S11_l2
2347,visual,S11_a1
2263.333333,visual,S04_a1
2130,visual,S02_l1
2111.666667,visual,S12_l2
1777.666667,visual,S17_l3
2119.666667,visual,S01_l2
1893.666667,visual,S10_l3
2206.666667,visual,S01_a3
1969.166667,visual,S08_l1
2165.166667,visual,S07_a3
2660.5,visual,S01_a1
1487.5,visual,S02_a3
2316,visual,S12_l3
1930.5,visual,S10_a2
1818.166667,visual,S13_l2
1982,visual,S05_a2
1642.833333,visual,S17_l2
1411.833333,visual,S02_a1
2332.5,visual,S16_l2
1950.5,visual,S07_l3
1920.333333,visual,S13_a2
2308.666667,visual,S04_l3
2444,visual,S14_a3
3154.166667,visual,S11_l3
1618.333333,visual,S10_l2
